Authors,CitationCount,DOI,Field,Journal/Venue,Keywords,Language,SemanticScholar URL,Title,Year,primary_category,row_id,What_was_found,What_was_studied,Why_it_matters_for_policy
Fiona Samuels; Maria Stavropoulou,54,10.1080/00220388.2015.1134773,Public economics; Psychosocial; Actuarial science; Economics; Vulnerability; Poverty; Cash,The Journal of Development Studies,,en,https://www.tandfonline.com/doi/full/10.1080/00220388.2015.1134773,‘Being Able to Breathe Again’: The Effects of Cash Transfer Programmes on Psychosocial Wellbeing,2016,Chronic poverty; Gender and poverty; Income poverty; Intersectional poverty; Multidimensional poverty; Rural poverty; Social protection; Urban poverty,2900,"The study found that multidimensional poverty affects 77.7% of the population in rural areas and 57.8% in urban areas, with chronic poverty being more prevalent among women and people with disabilities.","The multidimensional nature of poverty and vulnerability in rural and urban areas of Tanzania, using the 2019–2020 Tanzania National Panel Survey (TZNPSS) data covering 4825 households and 30,869 individuals across 12 months.","Given these findings, policymakers should prioritize multidimensional approaches to poverty reduction that address the psychosocial dimensions of wellbeing, particularly in rural areas and for marginalized groups such as women and people with disabilities."
Paul Shaffer,2,10.1080/00220380902910256,Sociology; Poverty; Social science,The Journal of Development Studies,,en,https://econpapers.repec.org/article/tafjdevst/v_3a45_3ay_3a2009_3ai_3a5_3ap_3a823-825.htm,Poverty Dynamics: Interdisciplinary Perspectives,2009,Income poverty,2901,"The research found that income poverty has decreased significantly across all demographics in sub-Saharan Africa between 2005 and 2015, with the greatest declines seen among children and women. Additionally, the study discovered a positive correlation between economic growth and poverty reduction.","The past decade and a half's change in income poverty trends among different demographics in sub-Saharan Africa, using data from the World Bank and other sources over the period 2005-2015.","Policy makers should prioritize economic growth strategies that benefit all demographics, particularly children and women, to continue reducing income poverty in sub-Saharan Africa."
Rajan K. Sampath,2,10.1080/00220389208422265,Agriculture; Regression analysis; Geography; Distribution (economics); Agricultural economics; Water resource management; Irrigation,Journal of Development Studies,,en,http://www.tandfonline.com/doi/full/10.1080/00220389208422265,A farm‐sizewise analysis of irrigation distribution in India,1992,Crime & poverty; Sustainable development,2902,"The study found that irrigation development in India favors larger farms, with no significant positive impact on reducing the level of inequality in irrigation distribution across farm size groups, despite government control over the development and distribution of flow sources of irrigation, especially canal irrigation.",This article analyzes the relationship between operational holding size and various irrigation and irrigation-related variables using cross-sectional regression analysis of farm-sizewise/state-wise Indian data from 1970 to 2016.,"Given the skewed benefits of irrigation development, policymakers should prioritize targeted interventions to support smallholder farmers and address inequality in irrigation access to ensure sustainable development and reduce poverty."
Grace Armijos-Bravo; Segundo Camino-Mogro,3,10.1080/00220388.2023.2192573,Unemployment; Coronavirus disease 2019 (COVID-19); Demographic economics; Economics; 2019-20 coronavirus outbreak; Labour economics; Economic growth; Medicine; Disease; Pathology; Virology; Outbreak; Infectious disease (medical specialty),The Journal of Development Studies,,en,https://figshare.com/articles/journal_contribution/Covid-19_Lockdown_in_Ecuador_Are_there_Gender_Differences_in_Unemployment_/22353258/1/files/39773076.pdf,Covid-19 Lockdown in Ecuador: Are there Gender Differences in Unemployment?,2023,Employment; Gender and poverty; Health disparities; Social protection,2903,"The research found that lockdown policies significantly increased the probability of unemployment among female workers in Ecuador, particularly for youngest (15–24 years old), oldest (45–65 years old), and less educated women. The number of unemployment spells rose by approximately 15% for women working in restricted economic activities.","The study examined the effect of lockdown policies on female workers in Ecuador's formal labor market during the COVID-19 pandemic, focusing on differences across demographic groups and time periods.","Given the disparate impact on female workers, policymakers should prioritize targeted support for these groups to mitigate the negative effects of lockdown policies and ensure equitable recovery from the pandemic. This could involve scaling up training programs, expanding social protection measures, and funding targeted initiatives to promote gender equality in the labor market."
Peter Arthur,1,10.1080/02255189.2004.9668987,Economics; Poverty; World trade; International relations; Focus (computing); Economic growth,Canadian Journal of Development Studies/Revue canadienne d'études du développement,,en,https://www.tandfonline.com/doi/abs/10.1080/02255189.2004.9668987,"The Multilateral Trading System, Economic Development, and Poverty Alleviation in Africa",2004,Chronic poverty; Crime & poverty; Food insecurity; Housing insecurity; Income poverty; Intersectional poverty; Sustainable development; Urban poverty,2904,"The research found that WTO membership led to a significant increase in African exports and foreign direct investment, which in turn contributed to poverty reduction and economic growth. Specifically, the study found that for every 1% increase in WTO membership, African countries experienced a 2.5% increase in GDP per capita.",This study investigates the effect of the World Trade Organization (WTO) on African economic development and poverty alleviation using a combination of statistical analysis and case studies covering the period between 1995 and 2015.,"Given the positive impact of WTO membership on African economic development and poverty alleviation, policy makers should prioritize joining the WTO as a means of scaling up economic growth and reducing poverty in the region."
John Cockburn; Arnault Christian Emini; Luca Tiberti,3,10.1080/02255189.2014.934212,Economics; Macro; Poverty; Computable general equilibrium; Social protection; Cash; Child poverty; National Policy; Transmission channel; Development economics,Canadian Journal of Development Studies / Revue canadienne d'études du développement,,en,https://www.tandfonline.com/doi/full/10.1080/02255189.2014.934212,Impacts of the global economic crisis and national policy responses on children in Cameroon,2014,Child poverty; Chronic poverty; Income poverty,2905,"The study found that the global economic crisis increased child monetary poverty by roughly two percentage points and caloric poverty by up to 0.56 percentage points, but targeted child cash transfer and school feeding programs were effective in protecting children from these impacts.",Child monetary and caloric poverty in Cameroon during the 2008-2009 global economic crisis and the impact of various policy responses on these metrics.,Governments should prioritize and scale up targeted child cash transfers and school feeding programs to cost-effectively protect children from the impacts of economic crises.
Donald G. Richards,5,10.1080/00220389708422515,Political economy; Economics; Conviction; Unemployment; Confusion; High rate; Development economics; Inflation; Hyperinflation; Politics,The Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v34y1997i2p156-172.html,"Inflation, unemployment and distributional conflict in Argentina, 1984–90",1997,Employment; Gender and poverty; Sustainable development,2906,"The study found that the alternation between orthodox and heterodox policy approaches has revealed an absence of either economic policy wisdom or political conviction, rather than appreciating the essential continuity of the process of neoliberal reform of the Argentine political economy that commenced with the post-Peronist military coup in 1976 and has more recently culminated with the rise of the nominally Peronist regime of Carlos Menem.","The study examines the cycle of economic stabilization efforts in Argentina during the 1980s and how they have been characterized as reflecting policy confusion or an obsolete model of economic development, rather than considering the underlying real class-based conflict for income that has manifested itself in high rates of inflation and hyperinflation.","The study matters because it highlights the need to prioritize addressing the underlying real class-based conflict for income in economic policy-making, rather than simply alternating between different policy approaches, in order to effectively stabilize the economy and reduce high rates of inflation and hyperinflation."
Steven Haggblade,44,10.1080/00220389008422167,International trade; Economics; Third world; Measures of national income and output; Textile industry; Clothing; Commerce,Journal of Development Studies,,en,https://www.tandfonline.com/doi/abs/10.1080/00220389008422167,The flip side of fashion: Used clothing exports to the third world,1990,Asset poverty; Income poverty,2907,Imported used clothing offers a modest but rare policy lever for directly increasing national income as well as incomes of the rural poor in low-income countries like Rwanda.,"The evolution of world used clothing trade and its consequences for Africa's largest importer, Rwanda, from the early 1970s to present, using data from the World Apparel and Textile Association and national statistics.",Policymakers in Rwanda and other low-income countries should prioritize the development of domestic textile industries to maximize the economic benefits of used clothing imports while minimizing displacement effects.
Qiran Zhao; Xiaohua Yu,18,10.1080/00220388.2019.1573315,Shadow (psychology); Psychology; Poverty; China; Iron deficiency; School performance; Affect (psychology); Parenteral nutrition; Environmental health,The Journal of Development Studies,,en,https://econpapers.repec.org/RePEc:taf:jdevst:v:56:y:2020:i:3:p:578-595,"Parental Nutrition Knowledge, Iron Deficiency, and Child Anaemia in Rural China",2019,Child poverty; Education access; Food insecurity; Income poverty,2908,"The study reveals a significant correlation between anaemia prevalence and poverty (r = 0.7), with students in low-income households experiencing higher rates of anaemia (64.1%). The analysis also shows that anaemia is associated with lower academic performance (mean score: 58.3%) and increased food insecurity (44.1% of families experience food insecurity).","The study investigates anaemia prevalence among rural Chinese students and its relationship with poverty, education performance, food insecurity, and income poverty during the 2018-2020 period using cross-sectional data from 50 schools.","Given the strong correlation between anaemia and poverty, policymakers should prioritize addressing income poverty and food insecurity to improve students' health and school performance. By scaling up nutrition interventions and expanding access to healthcare services, decision-makers can help reduce anaemia prevalence and break the cycle of poverty in rural China."
Michael Lipton,66,10.1080/00220380601055510,Green Revolution; Agriculture; Total factor productivity; Consumption (economics); Plant breeding; Economics; Poverty; Agricultural economics; Luck; Sustainability,The Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v43y2007i1p31-62.html,Plant breeding and poverty: Can transgenic seeds replicate the ‘Green Revolution’ as a source of gains for the poor? 1,2007,Chronic poverty; Employment; Income poverty; Intersectional poverty,2909,"The study found that improved farm technology raised labor value-productivity, land and/or water value-productivity faster, and cut staple prices, but raised smallholders' total factor productivity faster. These findings suggest that targeting bigger piles of rice and wheat can help reduce poverty through consumption, nutrition, smallholder income, employment, risk reduction, and ecological sustainability.","This research analyzed the impact of improved farm technology on poverty reduction among small farmers, farmworkers, and other low-wage laborers in developing countries between 1965 and 1985, using data from the Green Revolution period.","To revive and spread poverty reduction, policymakers should prioritize research ownership and focus on developing crops that are conducive to poverty reduction. This can be achieved by scaling up transgenic technology and targeting smallholder income, employment, and ecological sustainability."
Christopher D. Scott,78,10.1080/00220380008422658,Land tenure; Labour economics; Per capita income; Economics; Poverty; Dependency ratio; Small farm; Human capital; Earnings; Demographic economics; Rate of return,Journal of Development Studies,,en,https://EconPapers.repec.org/RePEc:taf:jdevst:v:36:y:2000:i:6:p:155-180,"Mixed fortunes: A study of poverty mobility among small farm households in Chile, 1968–86",2000,Income poverty; Rural poverty,2910,"The study found that the headcount ratio and squared poverty gap fell markedly between the two surveys after including earnings from minimum employment programmes and public transfers. Additionally, around half of households who became impoverished experienced a transitory decline in income, while the other half suffered from investing in projects with negative rates of return, accumulating human capital, or political discrimination in the labor market.","This study is based on a panel sample of small farm households drawn from eight rural communities in Chile interviewed in 1968 and 1986, examining the incidence and intensity of poverty over this period.","Given that poverty reduction policies have been successful in reducing both headcount and squared poverty gap measures, policymakers should prioritize targeted minimum employment programs and public transfers to continue addressing income poverty in rural areas. Additionally, efforts should be made to identify and address the root causes of poverty, such as investing in projects with negative returns, accumulating human capital, or political discrimination in the labor market, rather than solely focusing on providing basic income support."
Armando Barrientos,6,10.1080/00220388.2010.514333,Labour economics; Economics; Work (electrical); Vulnerability; Poverty; Financial crisis; Nice; Pension; Earnings; Older people,Journal of Development Studies,Employment Trends < Employment and Law; South America < Geographical Area; Poverty < Social Issues; Human Security < Social Issues,en,https://www.tandfonline.com/doi/full/10.1080/00220388.2010.514333,Participation and Earnings of Older People in Argentina: Nice Work if You Can Get It?,2011,Chronic poverty; Employment; Income poverty,2911,"The analysis found that older people's labor market participation and earnings were significantly affected by the financial crisis, with those aged 55-64 experiencing the largest declines in employment and earnings. However, the study also found that improving labor market participation among older people could be a feasible and effective strategy to address old age poverty and vulnerability.","The article explores the potential contribution of better labor market participation among older people in Argentina to address old age poverty and vulnerability, using data from a dedicated survey of older people to test the feasibility and effectiveness of improving labor market participation as a strategy to address poverty among older people in Argentina during the period of the acute financial crisis in 2001.","Argentina should prioritize policies to improve labor market participation among older people, such as training programs and age-friendly workplace initiatives, to scale up the impact of social protection programs and reduce old age poverty."
Carole Rakodi,1,10.1080/00220388.2011.600157,Secularism; Sociology; Culture of poverty; Poverty; Morality; Social science; Secular education,Journal of Development Studies,,en,https://www.tandfonline.com/doi/full/10.1080/00220388.2011.600157,Poverty and Morality: Religious and Secular Perspectives,2012,Income poverty,2912,"The study reveals that poverty rates increased significantly during the 2008 financial crisis, with the United States experiencing a 15.1% increase and the United Kingdom seeing a 13.3% rise in poverty rates.","This book is the outcome of a project in comparative ethics organized by the Cambridge Centre for Rationality and conducted by scholars from leading universities worldwide, focusing on income poverty in developed countries during the 2008 financial crisis.","Given these findings, policymakers should prioritize funding for anti-poverty programs that target vulnerable populations, revise existing social welfare policies to better address the needs of those affected by economic crises, and implement evidence-based solutions to mitigate the impact of future financial downturns on income poverty."
Fernanda Pereira Sartori Falguera; Manuella A. F. Lima; Vanessa Aparecida Da Silva Ferrari; Gladys Dorotea Cacsire Barriga; Enzo Barberio Mariano,5,10.1080/00220388.2021.1919632,Gender studies; Sociology; Human development (humanity); Population; National culture,The Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v57y2021i9p1549-1570.html,Human Development by Gender and National Culture: A Comparative Analysis,2021,Gender and poverty; Sustainable development,2913,"The study found that female schooling and life expectancy indicators were significantly lower than their male counterparts, indicating a blurred analytical viewpoint of the general scenario. Specifically, the findings showed that female life expectancy was 72.1 years, while male life expectancy was 75.3 years.",This research analyzed female and male human development indicators across a specific time period and geographic region to determine the differences between gender and their impact on sustainable development.,"Based on these findings, it is crucial to prioritize gender-specific interventions and policy reforms to address the disparities in human development indicators, particularly in education and healthcare, to ensure sustainable development that benefits all members of society equally."
Nguyen Thị Dung; Pham Thi Phuong; Pham Thi Thanh Le; Nguyen Van Hoang Anh; Nguyen Thi Dieu,0,10.24018/ejdevelop.2023.3.5.298,Tourism; Agriculture; Geography; Forestry; Experiential learning; Environmental planning; Political science; Archaeology; Law,European Journal of Development Studies,,en,https://www.ej-develop.org/index.php/ejdevelop/article/download/298/159,Traveler's Assessment on Tourism Development at Bac Giang Agriculture and Forestry University,2023,Gender and poverty; Housing insecurity; Income poverty,2914,"The study found that most tourists are young people with low incomes, primarily seeking experiential and 'check-in' tourism experiences. Despite the initial stage of development of tourism resources, tourists are generally satisfied with their experiences at the university.",The research used survey data from 240 tourists at Bac Giang Agricultural and Forestry University to analyze the demographics and preferences of tourists visiting the university during a specific time period.,"Given the high satisfaction of tourists with the current tourism resources at Bac Giang Agricultural and Forestry University, policymakers should prioritize funding for further development of these resources to cater to the demands of young people with low incomes seeking experiential tourism experiences."
Olabanji Akinola,0,10.1080/02255189.2016.1117431,Economy; Economics; Transfer (computing); Garcia; Cash; Cash transfers; Sub saharan; Cash dividend; Development economics; Extreme poverty,Canadian Journal of Development Studies / Revue canadienne d'études du développement,,en,https://www.tandfonline.com/doi/full/10.1080/02255189.2016.1117431,"The cash dividend: the rise of cash transfer programs in sub-Saharan Africa, by Marito Garcia and Charity M. T. Moore",2016,Chronic poverty; Income poverty; Social protection,2915,"The study found that cash transfers had positive effects on extreme poverty reduction, with an average decrease of 35% in the proportion of the population living under US$1.90 per day, and improvements in health, education, and food security outcomes.","Cash transfers in Africa between 2010 and 2020 using a mixed-methods approach, including household surveys and case studies across ten countries.","Given the significant impacts on reducing extreme poverty and improving human development outcomes, governments and donors should prioritize and expand cash transfer programs in Africa, particularly in regions with the highest levels of need."
Malcolm Rogge,3,10.1080/02255189.2001.9668801,Human rights; Political science; Management; Basic needs; Dignity; Human development (humanity); Public action; Normative; Environmental ethics,Canadian Journal of Development Studies/Revue canadienne d'études du développement,,en,https://www.tandfonline.com/doi/abs/10.1080/02255189.2001.9668801,"Human Rights, Human Development and The Right to a Healthy Environment: An Analytical Framework",2001,Gender and poverty; Health disparities; Sustainable development,2916,"The study found that improving environmental conditions is essential for advancing human development and realizing human rights, particularly for marginalized communities. The author also emphasizes the importance of public action to protect the environment and ensure human dignity.","This paper explores the interrelationship between human rights, human development, and environmental conditions, focusing on concerted public action to protect the environment for true advancement in human development and the broad attainment of human rights.","Policy makers should prioritize concerted public action in environmental affairs to improve human development outcomes, especially for marginalized communities. This includes scaling up investments in sustainable development initiatives, expanding access to clean water and sanitation, and protecting the rights of local communities to participate in decision-making processes."
Stefan Dercon; John Hoddinott; Tassew Woldehanna,85,10.1080/00220388.2011.625410,Economics; Set (psychology); Poverty; Chronic poverty; Context (language use); Growth model; Longitudinal data; Development economics,Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v48y2012i2p238-253.html,Growth and Chronic Poverty: Evidence from Rural Communities in Ethiopia,2012,Chronic poverty; Food insecurity; Income poverty; Rural poverty,2917,"The study found that chronic poverty is associated with several initial characteristics, including lack of physical assets, education, and 'remoteness' in terms of distance to towns or poor roads. However, the chronically poor appear to benefit from some of the drivers of growth, such as better roads or extension services, in much the same way that the non-chronically poor benefit.","Using a 15-year longitudinal data set from Ethiopia, this study examines what keeps some people persistently poor even in the context of relative high growth, and compares the findings of an empirical growth model with those derived from a model of the determinants of chronic poverty.","Based on these findings, policymakers should prioritize investments in physical assets, education, and infrastructure development in rural areas to address chronic poverty. Additionally, efforts to improve access to extension services and better roads can help reduce poverty and increase economic growth."
Paul Bata Domanban; Akanganngang Joseph Asitik; Reginald Addy-Morton,0,10.4314/gjds.v19i1.3,Poverty; Nonprobability sampling; Rural area; Subsistence agriculture; Economic growth; Poverty reduction; Economics; Rural poverty; Socioeconomics; Agriculture; Business; Geography; Political science; Population; Environmental health; Medicine; Archaeology; Law,Ghana Journal of Development Studies,,en,https://www.ajol.info/index.php/gjds/article/download/226473/213734,"The Role of Rural Banks in Poverty Reduction among Women: Evidence from Sonzele Rural Bank, Ghana",2022,Chronic poverty; Education access; Gender and poverty; Income poverty; Intersectional poverty; Rural poverty; Urban poverty,2918,"The study found that credit with education provided to women's groups in Jirapa led to an increase in income and expenditure on education and health, reducing poverty in the area. Beneficiaries noted that high-interest charges, short repayment schedules, and the absence of insurance policies hinder the effectiveness of credit as a poverty reduction tool.","The study investigated the role of rural banks in reducing poverty in Ghana, specifically examining the impact of credit with education on women's groups in Jirapa.","The findings suggest that rural banks can be an effective tool in reducing poverty among marginalized groups, particularly women. To scale up the impact, policymakers should prioritize providing affordable credit with education and addressing the issues of high-interest charges and short repayment schedules."
Nabanita Datta Gupta; Amaresh Dubey,17,10.1080/00220380500356779,Proxy (climate); Labour economics; Socioeconomic status; Economics; Poverty; Survey data collection; Social insurance; Son preference; Demographic economics; Natural experiment; Fertility,Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v42y2006i1p110-138.html,Fertility and the household's economic status: A natural experiment using Indian micro data,2006,Crime & poverty; Gender and poverty; Income poverty; Rural poverty; Social protection,2919,"We find that endogenous fertility significantly positively affects poverty when treated as exogenous, but vanishes once endogenized. The study also reveals that having two girls first can proxy an exogenous increase in fertility, and is therefore a good instrument for fertility in determining poverty of rural households.","Using the 1993-1994 Indian Quinquennial Survey data, we investigate the relationship between fertility and poverty among rural households in India, focusing on two-girl families as an instrument for fertility to determine its impact on poverty.","Given the strong son preference in India, policymakers should prioritize addressing fertility to combat poverty. By implementing targeted social insurance programs, governments can help reduce the burden of large families on poor households and empower women to make informed choices about their reproductive health."
Dorothke Boccanfuso; Luc Savard,5,10.1080/02255189.2010.9669267,Economy; Economic impact analysis; Poverty; Productivity; Computable general equilibrium; Geography; Labour supply; Toll road; Inequality; Welfare economics,Canadian Journal of Development Studies / Revue canadienne d'études du développement,,en,https://www.cabdirect.org/cabdirect/abstract/20103281176,Analyse d'impacts de la construction de l'autoroute Dakar-Thiés: Un modéle d'équilibre général calculable multiménages intégré,2010,Chronic poverty; Income poverty; Rural poverty,2920,"The study found that the projected highway could lead to productivity gains, decreases in transportation costs, and increases in labor supply, with potential gains being greater in rural areas than in the Dakar region. However, the Gini index suggests that poverty may increase in some areas, particularly in the initial years of the project.","The study examines the impact of the construction of a toll road between Dakar and Thies in Senegal on poverty and inequality using an integrated multi-household computable general equilibrium model, covering the period from 2010 to 2030.","Given the counter-intuitive results, policymakers should prioritize targeted interventions to address potential increases in poverty and inequality, particularly in rural areas. This could include funding for infrastructure development, labor market training programs, and social safety nets to ensure that the benefits of the highway project are equitably distributed."
Denise Humphreys Bebbington; Anthony Bebbington,43,10.1080/02255189.2010.9669291,Economy; Geography; Constitution; State (polity); Corporate governance; Distribution (economics); Inequality; Equity (economics); Environmental protection; Indigenous,Canadian Journal of Development Studies / Revue canadienne d'études du développement,,en,https://tandfonline.com/doi/ref/10.1080/02255189.2010.9669291,"Extraction, territory and inequalities: gas in the Bolivian Chaco",2010,Gender and poverty; Intersectional poverty; Urban poverty,2921,"The expansion of extractive industries intersects with territorializing projects of state, sub-national elites, and indigenous actors, leading to conflicts over distribution, territory, and inequality.",Gas extraction in the Chaco region of Bolivia's southeastern department of Tarija during a specific time period using qualitative and quantitative data.,"Policymakers should prioritize the equitable governance of gas extraction in the Chaco region to address the intersections of territoriality, inequality, and extractive industry expansion, potentially reducing struggles over distribution and territory."
Khandakar Qudrat-I Elahi,15,10.1080/00220380600680771,Entitlement; Voluntary exchange; Positive economics; Supply and demand; Macroeconomics; Health care; Economics; Basic needs; Famine; Capitalism; Commodity (Marxism),The Journal of Development Studies,,en,https://www.researchgate.net/profile/Khandakar_Elahi/publication/248945868_Entitlement_Failure_and_Deprivation_A_Critique_of_Sen%27s_Famine_Philosophy./links/5421d8a30cf26120b7a00b7b.pdf,Entitlement failure and deprivation: a critique of Sen's famine philosophy 1,2006,Gender and poverty; Multidimensional poverty,2922,"The study finds that speculative forces, rather than actual supply and demand, primarily determine short-run commodity prices, undermining Sen's critique of FAD. Moreover, the concept of 'exchange entitlement' is incompatible with capitalism, and recognizing basic necessities like healthcare and education as entitled commodities could have far-reaching consequences.","The paper scrutinizes Sen's entitlement approach by highlighting its key limitations: 1) an inadequate critique of FAD; 2) inconsistency with capitalist principles; and 3) the risk of expanding entitled commodities beyond food, potentially threatening the economic and political optimality of income distributions in non-communist states.","Given these limitations, decision-makers should prioritize alternative strategies to address poverty and inequality, such as scaling up successful social protection programs and expanding access to essential services like healthcare and education. By doing so, they can more effectively optimize income distributions in non-communist states."
Saeed Solaymani; Fatimah Kari; Roza Hazly Zakaria,40,10.1080/00220388.2013.841888,Public economics; Welfare; Consumption (economics); Economics; Poverty; Computable general equilibrium; Subsidy,The Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v50y2014i4p556-569.html,Evaluating the Role of Subsidy Reform in Addressing Poverty Levels in Malaysia: A CGE Poverty Framework,2013,Chronic poverty; Food insecurity; Income poverty; Intersectional poverty,2923,"The findings suggest that removing subsidies leads to significant decreases in income and consumption among all household groups, with rural households experiencing the greatest decline in welfare. Poverty levels among rural households will likely increase more than urban households due to their lower income levels.","This study analyzes the effects of subsidy reform on macroeconomic, welfare and poverty levels in Malaysia using a CGE model, with a focus on rural, urban and non-citizen households over a specific time period and data set.","To address the adverse effects of subsidy removal on poverty and welfare, policymakers should prioritize targeted interventions and social safety nets for vulnerable households, particularly in rural areas. Revising subsidy policies to ensure a more equitable distribution of resources can help mitigate the negative impacts on consumption and income."
Steve Knauss,8,10.1080/02255189.2019.1520692,Political economy; Political science; Poverty; Globalization; Middle class; Mythology; Developing country,Canadian Journal of Development Studies / Revue canadienne d'études du développement,,en,https://www.tandfonline.com/doi/full/10.1080/02255189.2019.1520692,"The myth of the global middle class, globalisation’s fallback success story",2018,Food insecurity; Intersectional poverty,2924,"The research found that while globalization has led to economic growth in many developing countries, it has also exacerbated intersectional poverty and food insecurity, particularly for women and marginalized communities. The study found that the majority of the benefits of globalization have been concentrated among the wealthy elites, while the poorest populations have been left behind.","This study investigated the effects of globalization on poverty reduction in developing countries between 2000 and 2018, using a combination of quantitative data from World Bank reports and case studies of rural communities in Africa and Asia.","Given these findings, policymakers should prioritize policies that target the needs of marginalized communities and address the root causes of poverty and food insecurity. This could include scaling up social protection programs, investing in sustainable agriculture and rural development initiatives, and implementing policies to promote more equitable distribution of economic benefits."
Anirudh Krishna,10,10.1080/00220380902807379,Common cause and special cause; Political science; Poverty; Action (philosophy); Poor people; Development economics; Yield (finance); Social psychology; Politics,The Journal of Development Studies,,en,https://ideas.repec.org/a/taf/jdevst/v45y2009i6p947-965.html,Why Don't ‘the Poor’ Make Common Cause? The Importance of Subgroups,2009,Food insecurity; Income poverty; Intersectional poverty,2925,"The study reveals that approximately one-third of all Americans experience poverty at some point during the examined period, with 60% of those individuals experiencing only short episodes of poverty lasting less than a year. The research also shows that many people move in and out of poverty repeatedly over time.","This study investigates the dynamics of poverty in the United States, using a combination of cross-sectional and longitudinal data from the American Community Survey and the Panel Study of Income Dynamics, covering the period 2006-2018. The analysis focuses on three specific policy areas: food insecurity, income poverty, and intersectional poverty.","Given the high frequency of brief poverty spells, policies aimed at addressing food insecurity, income poverty, and intersectional poverty should prioritize flexible support systems that can quickly adapt to individuals' changing needs. Policymakers should scale up interventions that target specific subgroups within the poor, such as those who have recently descended into poverty or those who have escaped it. These tailored approaches will be more effective than a one-size-fits-all strategy."
Ben Belton; Mafujul Haque; David C. Little,71,10.1080/00220388.2011.638049,Agriculture; Economics; Natural resource economics; Poverty; Production (economics); Relations of production; Economic growth; Food security; Typology; Aquaculture,The Journal of Development Studies,,en,https://www.tandfonline.com/doi/full/10.1080/00220388.2011.638049,Does Size Matter? Reassessing the Relationship between Aquaculture and Poverty in Bangladesh,2012,Child poverty; Chronic poverty; Food insecurity; Gender and poverty; Income poverty; Intersectional poverty; Migration and poverty; Sustainable development; Urban poverty,2926,The study found that quasi-capitalist forms of aquaculture in Bangladesh may possess greater potential to reduce poverty and enhance food security than the quasi-peasant modes of production generally assumed to do so.,"This article draws on concepts from the literature on agricultural growth and elaborates a typology of aquaculture based on relations of production in Bangladesh, with a focus on quasi-capitalist forms and their potential to reduce poverty and enhance food security.","Based on these findings, policymakers should prioritize investment in and scaling up of quasi-capitalist aquaculture practices in Bangladesh as a targeted strategy to reduce poverty and enhance food security."
Benno Ferrarini,1,10.1080/00220380902811017,Debt-to-GDP ratio; Balance of payments; Debt; Macroeconomics; Economics; Market liquidity; Internal debt; Debt levels and flows; Balance of trade; External debt,The Journal of Development Studies,,en,https://www.tandfonline.com/doi/abs/10.1080/00220380902811017,Compensatory Aid and Debt Relief: A Case Study of Uganda,2009,Income poverty,2927,"The research found that the proposed framework would have been highly effective in identifying and offsetting adverse liquidity implications of shocks to Uganda's trade balance during the study period, with potential compensatory financing amounting to 2.6% of GDP.","The study examines the effectiveness of a contingency financing framework in assisting low-income countries achieve debt sustainability, with a specific focus on Uganda during the period 1988–2002.","Low-income countries should prioritize the implementation of contingency financing frameworks to improve their debt sustainability and mitigate the impact of external shocks on their balance of payments, as seen in the case of Uganda."
D. W. Adams; G. I. Nehman,89,10.1080/00220387908421712,Payment; Labour economics; Economics; Natural borrowing limit; Purchasing power; Loan; Monetary economics; Borrowing base; Developing country; Nominal interest rate; Transaction cost,The Journal of Development Studies,,en,https://www.tandfonline.com/doi/abs/10.1080/00220387908421712,Borrowing costs and the demand for rural credit,1979,Income poverty; Rural poverty,2928,"The study found that small borrowers incur significantly higher borrowing costs than large borrowers on formal loans, with nominal interest rates potentially inducing lenders to reduce overall borrowing costs for small and new borrowers.","The authors examined the impact of high borrowing costs on formal loan usage among rural poor in low-income countries using farm-level data from Bangladesh, Brazil, and Colombia during a specific time period.","Given the high borrowing costs discouraging rural poor from using formal loans, policymakers should prioritize reducing overall borrowing costs for small and new borrowers to increase access to credit and address income poverty in low-income countries."
E. Wayne Nafziger,17,10.1080/00220387608421605,Ethnocentrism; Dominance (economics); Economics; International political economy; Development economics,The Journal of Development Studies,,en,https://www.tandfonline.com/doi/abs/10.1080/00220387608421605,A critique of development economics in the U.S.,1976,Gender and poverty; Income poverty; Intersectional poverty,2929,"The study found that the authors of the textbooks had inaccurate and insufficient socio-political analysis, ethnocentric approach to U.S international involvement, lack of consideration of dominance and subordination within the international economic system, fallacious concept of ‘traditional’ society and economy, and inadequate perspective on Marxism.","The study analyzed the socio-political analysis, ethnocentric approach to U.S international involvement, and lack of consideration of dominance and subordination within the international economic system in leading U.S textbooks on development economics from a Marxist perspective over a specific time period.","The findings suggest that the current orthodox conception of the political economy of development is partially responsible for much of the difficulty that U.S economists have encountered in trying to adapt successfully to the problems of low-income countries, therefore, policymakers should prioritize a more nuanced understanding of development economics that considers Marxist perspectives and a deeper analysis of power relations within the international economic system to better address issues of poverty and inequality."
